27742.0,145668
-264536.00,928114.0,145680
-264028.00,928257.0,145691
-264284.00,928115.0,145703
-264247.00,928306.0,145715
-264751.00,928227.0,145727
-264578.00,928030.0,145738
-264074.00,927792.0,145751
-264705.00,927781.0,145762
-264528.00,927622.0,145774
-265294.00,927520.0,145785
-264865.00,927807.0,145798
-263898.00,927992.0,145809
-264961.00,928164.0,145821
-264452.00,928309.0,145832
-264610.00,928348.0,145845
-264040.00,928133.0,145856
-265510.00,928044.0,145868
-264866.00,927895.0,145880
-264200.00,927633.0,145892
-264733.00,927384.0,145903
-264276.00,927489.0,145915
-264183.00,927772.0,145927
-265187.00,928081.0,145939
-264605.00,928072.0,145950
-263684.00,928249.0,145963
-264585.00,928252.0,145974
-265004.00,927896.0,145986
-264319.00,927869.0,145997
-264390.00,927852.0,146010
-264475.00,927809.0,146021
-264376.00,927938.0,146033
-264756.00,927850.0,146044
-264866.00,927719.0,146057
-264274.00,928104.0,146068
-263369.00,928298.0,146080
-265084.00,928353.0,146092
-264984.00,928245.0,146104
-263382.00,927991.0,146115
-264956.00,928101.0,146127
-264564.00,927885.0,146139
-264289.00,927880.0,146151
-265171.00,927893.0,146162
-264020.00,928114.0,146174
-264052.00,928227.0,146186
-264774.00,928366.0,146198
-265084.00,928414.0,146209
-264619.00,928203.0,146222
-263809.00,928217.0,146233
-264085.00,928206.0,146245
-264818.00,927886.0,146256
-264188.00,927773.0,146269
-264639.00,927584.0,146280
-264309.00,927817.0,146292
-264489.00,927762.0,146304
-265493.00,927848.0,146316
-264079.00,928035.0,146327
-263829.00,928107.0,146339
-265167.00,928138.0,146351
-264208.00,928312.0,146363
-264502.00,928307.0,146374
-264717.00,927871.0,146386
-264141.00,927914.0,146398
-264649.00,928015.0,146410
-264942.00,927680.0,146421
-264757.00,927787.0,146434
-263974.00,927939.0,146445
-264248.00,927973.0,146457
-265051.00,928074.0,146468
-264967.00,928211.0,146481
-264140.00,928391.0,146492
-264043.00,928053.0,146504
-264627.00,927869.0,146515
-264617.00,927777.0,146528
-264966.00,927806.0,146539
-264404.00,927639.0,146551
-264393.00,927787.0,146563
-264888.00,928029.0,146575
-263991.00,927926.0,146586
-264701.00,928305.0,146598
-264446.00,928175.0,146610
-263802.00,928131.0,146622
-265085.00,928252.0,146633
-263754.00,928009.0,146646
-264381.00,927841.0,146657
-265238.00,927799.0,146669
-264302.00,927582.0,146680
-264318.00,927819.0,146693
-264590.00,927931.0,146704
-264220.00,928063.0,146716
-264721.00,928320.0,146727
-264181.00,928470.0,146739
-264568.00,928547.0,146751
-264479.00,928349.0,146762
-263694.00,927988.0,146775
-265547.00,927660.0,146786
-264724.00,927542.0,146798
-264119.00,927522.0,146809
-264336.00,927600.0,146822
-264588.00,927994.0,146833
-264814.00,928219.0,146845
-264335.00,928263.0,146856
-264357.00,928459.0,146869
-263885.00,928498.0,146880
-264710.00,928324.0,146892
-264946.00,927944.0,146904
-264374.00,927788.0,146916
-264651.00,928083.0,146927
-264297.00,928018.0,146939
-264905.00,927977.0,146951
-264693.00,928126.0,146963
-264529.00,928142.0,146974
-264357.00,928278.0,146987
-263474.00,928418.0,146998
-265245.00,928474.0,147010
-265064.00,928301.0,147021
-263979.00,928045.0,147034
-264101.00,927633.0,147045
-265707.00,927699.0,147057
-264977.00,927437.0,147068
-264190.00,927479.0,147081
-263918.00,927790.0,147092
-263936.00,927877.0,147104
-265498.00,928062.0,147116
-264057.00,928178.0,147128
-263464.00,928188.0,147139
-264602.00,927905.0,147151
-265028.00,927813.0,147163
-264978.00,927557.0,147175
-264412.00,927330.0,147186
-264227.00,927666.0,147198
-264122.00,927977.0,147210
-265384.00,928072.0,147222
-265180.00,927997.0,147233
-263569.00,928292.0,147246
-264230.00,928398.0,147257
-264096.00,928336.0,147269
-264871.00,928272.0,147280
-264904.00,928080.0,147293
-263553.00,927747.0,147304
-264508.00,927678.0,147316
-265149.00,927768.0,147328
-265095.00,927915.0,147340
-264009.00,927851.0,147351
-263633.00,928050.0,147363
-265027.00,928365.0,147375
-264748.00,928601.0,147387
-264368.00,928553.0,147398
-264496.00,928152.0,147410
-264866.00,927860.0,147422
-265646.00,927642.0,147434
-264224.00,927441.0,147445
-264276.00,927552.0,147458
-265245.00,927640.0,147469
-264648.00,928179.0,147481
-264453.00,928147.0,147492
-264416.00,928187.0,147505
-263210.00,928246.0,147516
-264466.00,928391.0,147528
-265421.00,928188.0,147539
