319.0,8816
-314253.00,779891.0,8827
-312997.00,779894.0,8840
-311307.00,779983.0,8851
-312372.00,779883.0,8863
-313764.00,779856.0,8875
-312522.00,779925.0,8887
-311349.00,779962.0,8898
-312556.00,780093.0,8910
-314323.00,780177.0,8922
-312906.00,780012.0,8934
-311657.00,779804.0,8945
-312385.00,779902.0,8957
-313208.00,780002.0,8969
-313232.00,779954.0,8980
-313241.00,779850.0,8992
-312602.00,779804.0,9004
-311441.00,780031.0,9016
-313194.00,780233.0,9027
-314081.00,780247.0,9039
-312329.00,780160.0,9051
-311748.00,780106.0,9063
-312555.00,779928.0,9074
-313756.00,779833.0,9086
-313190.00,779891.0,9098
-312380.00,780019.0,9110
-312129.00,780166.0,9121
-312435.00,780210.0,9134
-313699.00,780075.0,9145
-313270.00,779761.0,9157
-311793.00,779570.0,9168
-312200.00,779900.0,9181
-313010.00,780204.0,9192
-313634.00,780378.0,9204
-313362.00,780395.0,9216
-311377.00,780375.0,9228
-312087.00,780327.0,9239
-313935.00,780090.0,9251
-313065.00,779958.0,9263
-312264.00,779795.0,9275
-312139.00,779731.0,9286
-313877.00,779894.0,9298
-313623.00,780104.0,9310
-311751.00,779914.0,9322
-311736.00,779945.0,9333
-312958.00,780077.0,9346
-313939.00,779864.0,9357
-312987.00,779922.0,9369
-311249.00,780024.0,9380
-312281.00,779864.0,9393
-313743.00,779971.0,9404
-313154.00,780033.0,9416
-313015.00,779899.0,9427
-311738.00,779863.0,9440
-311828.00,780105.0,9451
-313864.00,780149.0,9463
-313523.00,779815.0,9475
-312367.00,779602.0,9487
-311340.00,779657.0,9498
-312629.00,779924.0,9510
-314841.00,780145.0,9522
-312879.00,780034.0,9534
-311641.00,779986.0,9545
-312434.00,780170.0,9558
-312979.00,780263.0,9569
-313764.00,780058.0,9581
-313284.00,779897.0,9592
-311594.00,779968.0,9605
-312194.00,780143.0,9616
-313755.00,780153.0,9628
-313760.00,780003.0,9639
