989625.0,7777
-301732.00,989796.0,7788
-301122.00,989691.0,7800
-300774.00,989636.0,7812
-301064.00,989614.0,7824
-300806.00,989588.0,7835
-301194.00,989440.0,7847
-301327.00,989557.0,7859
-300397.00,989625.0,7871
-300436.00,989709.0,7882
-301326.00,989896.0,7895
-300852.00,989677.0,7906
-300999.00,989428.0,7918
-300763.00,989500.0,7929
-301057.00,989728.0,7942
-300834.00,989872.0,7953
-300510.00,989922.0,7965
-300440.00,990174.0,7976
-300826.00,990153.0,7989
-301115.00,989898.0,8000
-300854.00,989605.0,8012
-301029.00,989421.0,8024
-300824.00,989522.0,8036
-300880.00,989560.0,8047
-300323.00,989829.0,8059
-300333.00,989980.0,8071
-301003.00,990070.0,8083
-300360.00,990164.0,8094
-300914.00,990083.0,8107
-300340.00,989803.0,8118
-300036.00,990162.0,8130
-301337.00,990266.0,8141
-301054.00,990238.0,8154
-300511.00,990218.0,8165
-300104.00,990281.0,8177
-300463.00,990251.0,8188
-300672.00,990072.0,8201
-301196.00,989630.0,8212
-301171.00,989709.0,8224
-300309.00,989938.0,8236
-300453.00,990020.0,8248
-301107.00,990026.0,8259
-301123.00,989914.0,8271
-300399.00,989843.0,8283
-300212.00,989836.0,8295
-300992.00,990037.0,8306
-301173.00,990023.0,8318
-300140.00,989817.0,8330
-299768.00,989705.0,8342
-301601.00,989835.0,8353
-301498.00,989775.0,8366
-300875.00,989561.0,8377
-301261.00,989440.0,8389
-300030.00,989351.0,8400
-300520.00,989207.0,8412
-301920.00,989377.0,8424
-301133.00,989505.0,8435
-300396.00,989530.0,8448
-300420.00,989757.0,8459
-300596.00,989752.0,8471
-301037.00,989751.0,8482
-301476.00,989449.0,8495
-301138.00,989437.0,8506
-300171.00,989343.0,8518
-300389.00,989449.0,8529
-301576.00,989554.0,8542
-301638.00,989321.0,8553
-300630.00,989366.0,8565
-299896.00,989083.0,8577
-300908.00,989166.0,8589
-301939.00,989406.0,8600
-301376.00,989360.0,8612
-300289.00,989544.0,8624
-300039.00,989911.0,8636
-300801.00,990008.0,8647
-301756.00,989823.0,8659
-301576.00,989445.0,8671
-299977.00,989240.0,8683
-299940.00,988992.0,8694
-301898.00,989081.0,8707
-301409.00,989093.0,8718
-300273.00,989043.0,8730
-300210.00,989150.0,8741
-301453.00,989200.0,8754
-301923.00,989377.0,8765
-301006.00,989499.0,8777
-300215.00,989571.0,8788
-300314.00,989860.0,8801
-301214.00,990023.0,8812
-301165.00,990222.0,8824
-300373.00,990041.0,8836
-299929.00,989755.0,8848
-300050.00,989517.0,8859
-302259.00,989217.0,8871
-302301.00,989237.0,8883
-300254.00,989252.0,8895
-299987.00,989495.0,8906
-300536.00,989542.0,8919
-301699.00,989804.0,8930
-301741.00,989996.0,8942
-300073.00,989946.0,8953
-300030.00,990109.0,8966
-300714.00,990382.0,8977
-301002.00,990393.0,8989
-301160.00,990509.0,9000
-300076.00,990339.0,9013
-300140.00,990363.0,9024
-300923.00,990197.0,9036
-301288.00,989984.0,9048
-301240.00,989592.0,9060
-300492.00,989235.0,9071
-300766.00,989472.0,9083
-301365.00,989797.0,9095
-300382.00,990033.0,9107
-300228.00,990046.0,9118
-300426.00,990222.0,9131
-301065.00,990343.0,9142
-300781.00,990465.0,9154
-300127.00,990448.0,9165
-300660.00,990357.0,9178
-300462.00,990278.0,9189
-300944.00,989963.0,9201
-300852.00,989900.0,9212
-300195.00,989839.0,9224
-300962.00,989670.0,9236
-301118.00,989520.0,9247
-300835.00,989238.0,9260
-301417.00,989321.0,9271
-301044.00,989537.0,9283
-300119.00,989622.0,9294
-301015.00,990099.0,9307
-300700.00,990243.0,9318
-300241.00,990334.0,9330
-300891.00,990109.0,9341
-300644.00,989925.0,9354
-301207.00,989768.0,9365
-301000.00,989409.0,9377
-300098.00,989312.0,9389
-300720.00,989500.0,9401
-301329.00,989469.0,9412
-301418.00,989316.0,9424
-301359.00,989216.0,9436
-300538.00,989159.0,9448
-300546.00,989251.0,9459
-301439.00,989445.0,9472
-300970.00,989757.0,9483
-300343.00,990179.0,9495
-299873.00,990262.0,9506
-301523.00,990078.0,9519
-301282.00,989537.0,9530
-300227.00,989249.0,9542
