txt,MediaLift,MediaDrag
Raw Dataa\V00.00.txt,-412.93300902708046,25.260932798395213
Raw Dataa\V25.00.txt,-411.0805461393598,27.497189460476804
Raw Dataa\V26.00.txt,-410.9520213963963,27.666237345331815
Raw Dataa\V28.00.txt,-410.7651812149063,28.082687404385517
Raw Dataa\V30.00.txt,-410.60071038251283,28.500422727272703
Raw Dataa\V32.00.txt,-410.21579662860216,28.958796747967558
Raw Dataa\V34.00.txt,-410.1154277286134,29.460035398230072
Raw Dataa\V36.00.txt,-409.5636696811048,30.090990004759657
Raw Dataa\V38.00.txt,-409.32628751974704,30.700110352075644
Raw Dataa\V40.00.txt,-408.86601486563785,31.258417142857137
Raw Dataa\V42.00.txt,-408.36912687585186,32.29141818181819
Raw Dataa\V44.00.txt,-408.56564406008295,32.93395454545453
Raw Dataa\V46.00.txt,-407.4321129326046,33.66136529126213
Raw Dataa\V48.00.txt,-407.09615583075237,34.30351211964925
Raw Dataa\V50.00.txt,-406.38326818181906,35.21381818181818
