,29.71,⸮9⸮8817.00
9257.00
-409.91,30.94,1134
-407.34,32.89,1136
-405.90,32.17,1137
-411.89,30.37,1148
-411.56,28.64,1160
-411.78,27.97,1172
-411.42,27.74,1183
-410.13,30.60,1196
-409.58,32.09,1207
-406.73,30.98,1219
-406.93,30.03,1230
-414.10,28.97,1242
-411.31,28.98,1254
-409.14,29.33,1265
-410.36,31.60,1277
-407.13,32.08,1289
-407.29,30.33,1301
-413.36,29.23,1312
-410.54,28.44,1325
-411.20,28.04,1336
-410.87,29.47,1348
-408.43,31.66,1359
-408.54,32.39,1372
-406.24,30.94,1383
-407.39,29.92,1395
-414.24,28.91,1406
-410.61,28.34,1418
-408.37,29.61,1430
-412.24,31.27,1441
-408.55,31.49,1454
-404.95,30.10,1465
-412.64,29.32,1477
-409.69,28.74,1488
-409.39,28.48,1501
-409.85,30.81,1512
-410.04,32.59,1524
-405.75,31.83,1536
-407.79,30.33,1548
-412.21,28.84,1559
-411.59,28.31,1571
-408.81,28.20,1583
-409.91,30.70,1594
-407.39,32.30,1606
-404.59,31.52,1617
-410.79,30.37,1630
-410.35,29.15,1641
-409.56,29.04,1653
-410.02,29.27,1665
-409.23,31.47,1677
-407.68,32.50,1688
-406.67,30.16,1700
-408.50,29.48,1712
-413.40,28.22,1724
-412.26,28.48,1735
-406.57,29.61,1746
-410.71,32.19,1759
-407.25,32.52,1770
-404.64,30.80,1782
-411.19,29.75,1794
-411.57,28.45,1806
-408.23,28.27,1817
-412.74,29.73,1829
-409.52,31.91,1841
-407.09,32.07,1853
-406.31,30.26,1864
-408.24,29.46,1876
-412.08,28.99,1888
-411.93,28.48,1900
-408.36,30.53,1911
-410.42,32.41,1923
-405.07,31.55,1935
-411.06,30.42,1946
-409.87,28.82,1958
-409.57,28.64,1970
-412.32,28.39,1982
-409.70,30.80,1993
-408.15,32.18,2006
-405.50,31.16,2017
-408.45,30.08,2029
-411.97,29.00,2040
-410.43,28.74,2053
-406.66,28.95,2064
-412.02,31.50,2076
-408.50,32.31,2087
-405.13,30.81,2099
-411.40,29.78,2111
-411.86,28.41,2122
-409.16,28.36,2135
-413.22,29.27,2146
-408.47,31.82,2158
-408.22,32.68,2169
-406.54,30.60,2182
-408.19,29.82,2193
-412.28,28.55,2205
-413.20,28.21,2216
-408.43,30.01,2229
-409.73,31.90,2240
-408.68,32.08,2252
-404.65,30.25,2264
-410.88,29.16,2275
-411.71,28.52,2287
-409.71,28.54,2298
-409.12,30.95,2311
-405.88,32.37,2322
-406.07,31.74,2334
-410.05,29.61,2345
-412.13,28.94,2358
-412.79,28.47,2369
-407.93,28.30,2381
-409.25,31.21,2393
-409.02,32.27,2405
-407.08,31.23,2416
-408.31,30.05,2427
-411.70,28.97,2440
-410.95,28.76,2451
-411.67,29.15,2463
-408.31,31.31,2475
-409.50,32.23,2487
-404.92,30.67,2498
-410.42,29.76,2510
-413.17,28.74,2522
-410.61,28.36,2534
-408.04,29.55,2545
-410.91,31.84,2557
-408.20,32.37,2569
-406.50,30.79,2581
-408.15,29.72,2592
-411.32,28.31,2604
-412.91,27.83,2616
-411.13,29.56,2627
-409.06,31.49,2639
-408.67,32.09,2651
-405.76,30.55,2663
-410.36,29.39,2674
-413.58,28.70,2686
-409.50,28.41,2698
-412.76,30.65,2710
-407.52,32.32,2721
-406.85,31.64,2734
-408.99,29.99,2745
-412.10,28.71,2757
-412.66,28.23,2768
-410.54,28.15,2780
-408.89,30.85,2792
-409.17,32.61,2803
-405.39,31.72,2816
-410.28,30.47,2827
-410.32,29.11,2839
-410.83,28.74,2850
-411.81,28.57,2863
-410.29,31.18,2874
-407.04,32.18,2886
-408.00,30.29,2897
-410.26,29.68,2910
-412.29,28.48,2921
-412.70,28.14,2933
-407.84,29.68,2945
-407.52,31.99,2956
-410.36,32.67,2968
-405.91,30.77,2979
-408.33,29.63,2992
-412.02,28.35,3003
-411.60,28.12,3015
-410.64,29.50,3026
-411.52,31.74,3039
-409.31,31.72,3050
-404.10,30.43,3062
-410.50,29.67,3074
-411.27,29.05,3086
-408.61,28.65,3097
-408.99,30.89,3108
-410.17,32.24,3121
-407.62,31.75,3132
-409.07,29.98,3144
-410.72,28.52,3155
-413.40,28.16,3168
-411.59,28.26,3179
-409.85,31.10,3191
-408.12,32.66,3203
-403.67,31.80,3215
-409.07,30.44,3226
-413.98,28.91,3238
-409.92,28.57,3250
-408.29,28.50,3262
-411.27,31.38,3273
-407.87,32.12,3284
-406.80,30.61,3297
-410.51,29.47,3308
-409.62,28.70,3320
-411.93,28.63,3332
-413.82,29.87,3344
-408.60,31.97,3355
-407.76,32.80,3367
-405.88,30.60,3379
-409.83,29.88,3391
