495.74,7745
177.55,1496.70,7756
178.71,1496.12,7769
176.42,1495.06,7780
176.25,1494.15,7792
177.88,1494.21,7803
178.62,1496.12,7816
178.11,1496.03,7827
176.97,1496.71,7839
178.23,1495.43,7851
178.69,1494.30,7863
176.00,1493.57,7874
178.14,1494.65,7886
177.31,1495.81,7898
177.90,1497.19,7910
179.00,1497.25,7921
178.51,1496.43,7933
175.21,1494.97,7945
177.85,1493.51,7957
177.05,1493.25,7968
179.02,1494.56,7981
178.90,1494.72,7992
176.47,1495.19,8004
179.32,1494.42,8015
176.37,1494.79,8028
177.63,1493.68,8039
177.82,1494.50,8051
177.07,1495.29,8062
178.97,1496.53,8075
177.57,1497.00,8086
178.66,1495.50,8098
177.46,1495.55,8110
176.24,1493.66,8122
177.84,1494.18,8133
178.28,1494.12,8145
177.82,1496.01,8157
177.72,1496.43,8169
178.96,1496.97,8180
178.15,1496.56,8192
175.42,1495.56,8204
177.30,1495.37,8215
177.24,1496.49,8227
179.94,1496.89,8239
177.92,1497.51,8251
176.41,1495.72,8262
178.96,1495.94,8274
176.81,1493.07,8286
177.69,1494.11,8298
176.33,1493.94,8309
177.94,1495.20,8322
179.73,1495.53,8333
179.29,1494.98,8345
176.58,1496.16,8356
175.70,1494.45,8369
176.72,1494.97,8380
178.73,1495.53,8392
180.37,1496.84,8403
176.68,1496.14,8416
177.24,1495.87,8427
178.87,1494.48,8439
176.92,1493.59,8451
178.88,1492.17,8463
176.43,1494.11,8474
176.97,1494.73,8486
178.37,1496.12,8498
180.16,1494.24,8510
178.94,1495.11,8521
174.72,1493.55,8534
176.51,1494.19,8545
178.16,1494.68,8557
179.83,1497.04,8568
178.49,1496.34,8581
176.16,1495.93,8592
177.59,1495.39,8604
177.48,1493.95,8615
178.85,1493.78,8628
177.27,1493.49,8639
176.43,1495.66,8651
178.08,1494.75,8663
178.85,1495.60,8674
177.42,1494.56,8686
173.92,1493.90,8698
178.77,1492.86,8710
179.05,1494.06,8721
179.17,1495.16,8733
176.09,1495.34,8744
178.48,1494.43,8757
179.51,1494.24,8768
176.74,1492.38,8780
179.08,1492.03,8792
176.12,1492.07,8804
178.10,1495.19,8815
179.17,1495.29,8827
179.16,1496.62,8839
177.98,1495.88,8851
175.67,1495.66,8862
177.18,1494.53,8875
178.21,1495.02,8886
178.80,1495.41,8898
176.50,1495.28,8909
177.76,1495.20,8922
179.65,1495.01,8933
177.73,1492.64,8945
176.85,1491.93,8956
176.18,1492.30,8969
177.83,1495.48,8980
180.08,1495.99,8992
177.85,1498.06,9004
177.17,1497.76,9016
176.28,1497.21,9027
175.72,1496.99,9039
179.26,1496.22,9051
177.22,1497.03,9063
176.59,1495.32,9074
179.13,1495.64,9086
180.53,1494.21,9098
176.84,1493.57,9110
175.38,1491.74,9121
177.03,1492.27,9133
180.74,1494.54,9145
178.18,1495.01,9156
176.92,1497.07,9168
177.15,1496.89,9180
176.07,1497.47,9192
177.94,1496.48,9203
177.98,1496.01,9216
176.73,1495.72,9227
177.14,1495.25,9239
178.26,1494.71,9250
181.05,1493.21,9263
177.67,1492.13,9274
175.36,1491.26,9286
178.07,1492.37,9297
178.73,1494.69,9310
179.03,1496.28,9321
177.44,1498.05,9333
177.21,1498.26,9345
177.89,1497.89,9357
177.01,1496.43,9368
177.30,1495.14,9380
176.08,1495.84,9392
177.82,1494.83,9404
178.80,1495.14,9415
179.58,1492.73,9427
178.97,1491.83,9439
174.94,1490.44,9451
178.86,1492.21,9462
178.54,1494.10,9475
177.42,1496.46,9486
176.96,1497.82,9498
178.97,1498.06,9509
177.83,1498.25,9522
174.90,1496.51,9533
176.48,1494.42,9545
177.73,1494.66,9556
179.69,1494.65,9569
178.77,1493.90,9580
177.89,1492.49,9592
177.51,1492.13,9604
177.64,1492.00,9615
179.17,1493.05,9627
177.45,1494.94,9638
177.02,1496.89,9651
175.94,1497.98,9662
179.88,1498.11,9674
179.43,1498.57,9686
173.72,1496.05,9698
176.55,1495.32,9709
177.02,1494.49,9721
180.17,1496.50,9733
179.86,1494.99,9745
175.53,1494.60,9756
178.12,1493.67,9768
177.17,1492.86,9780
178.45,1492.94,9792
179.30,1494.18,9803
176.00,1496.32,9816
175.77,1497.35,9827
179.95,1497.53,9839
180.33,1497.79,9850
176.73,1495.69,9863
175.94,1494.79,9874
179.43,1493.79,9886
181.04,1495.33,9897
176.75,1494.34,9910
177.06,1494.00,9921
178.63,1494.65,9933
177.04,1493.72,9945
179.41,1494.47,9957
175.92,1494.70,9968
176.29,1498.39,9980
178.90,1498.02,9992
177.91,1499.40,10004
180.16,1496.90,10015
174.38,1495.71,10028
175.69,1493.55,10039
180.25,1494.18,10051
178.84,1494.73,10062
176.68,1494.43,10075
177.46,1494.61,10086
178.81,1495.14,10097
178.44,1494.11,10109
178.99,1493.19,10121
174.67,1493.60,10133
177.13,1496.52,10144
180.44,1496.50,10157
177.73,1498.20,10168
178.38,1496.69,10180
175.83,1495.56,10191
173.64,1494.83,10204
181.50,1494.66,10215
179.15,1495.11,10227
176.02,1494.95,10238
176.48,1496.02,10251
180.52,1495.11,10262
177.96,1494.99,10274
175.16,1494.14,10286
174.85,1494.39,10298
179.02,1497.14,10309
179.24,1497.01,10321
178.33,1498.65,10333
176.32,1497.59,10345
174.54,1497.94,10356
177.77,1494.89,10369
178.15,1493.87,10380
178.17,1493.98,10392
178.39,1494.54,10403
175.82,1495.15,10416
180.26,1493.78,10427
178.76,1493.72,10439
175.07,1493.13,10450
178.08,1494.65,10463
177.91,1495.84,10474
176.20,1496.77,10486
179.03,1497.54,10498
179.11,1496.93,10510
176.02,1496.83,10521
176.44,1495.55,10533
178.07,1495.11,10545
175.66,1495.31,10556
179.86,1495.10,10568
177.42,1495.75,10579
177.40,1494.81,10592
179.85,1495.47,10603
175.79,1493.99,10615
177.14,1494.63,10627
176.57,1494.96,10639
179.76,1497.31,10650
176.45,1497.42,10662
178.39,1496.64,10674
176.18,1495.72,10686
176.16,1494.77,10697
179.14,1494.38,10710
178.35,1495.44,10721
175.35,1495.58,10733
178.89,1495.68,10744
180.19,1494.70,10757
177.74,1495.36,10768
176.74,1492.93,10780
175.98,1493.33,10791
176.20,1494.37,10804
181.16,1497.93,10815
177.14,1497.51,10827
176.79,1497.74,10839
177.52,1495.77,10851
175.32,1494.63,10862
180.07,1493.41,10874
176.68,1494.07,10886
176.39,1495.17,10898
176.86,1495.41,10909
178.41,1494.75,10921
181.93,1495.66,10933
175.47,1494.26,10945
174.71,1494.03,10956
177.44,1494.66,10969
178.92,1496.99,10980
179.19,1496.13,10992
176.59,1496.94,11003
176.40,1496.09,11016
177.50,1495.20,11027
178.92,1493.99,11038
176.18,1493.80,11051
177.69,1495.62,11062
178.66,1494.74,11074
181.16,1495.64,11085
177.33,1494.73,11098
173.56,1493.89,11109
178.09,1493.82,11121
178.65,1494.75,11132
179.77,1496.36,11145
176.26,1496.03,11156
175.47,1497.69,11168
179.76,1496.84,11180
177.83,1494.87,11192
177.80,1493.94,11203
175.60,1492.91,11215
176.45,1495.40,11227
180.43,1494.87,11239
178.24,1496.70,11250
179.17,1494.71,11262
175.65,1494.60,11274
175.32,1493.92,11286
179.99,1494.35,11297
179.00,1496.21,11310
175.73,1495.89,11321
176.09,1496.96,11333
180.05,1495.83,11344
178.36,1495.98,11357
177.29,1493.99,11368
175.46,1493.57,11380
174.98,1495.78,11392
180.64,1496.06,11404
179.99,1497.40,11415
176.38,1495.58,11427
175.41,1495.73,11439
179.10,1495.25,11451
178.58,1495.35,11462
175.81,1495.76,11474
176.57,1496.07,11486
177.72,1496.41,11498
