txt,MediaLift,MediaDrag
Raw Dataa\V00.00.txt,-412.93300902708046,25.260932798395213
Raw Dataa\V11.00.txt,-412.5885706182634,25.70795506912443
Raw Dataa\V16.00.txt,-412.28309198542706,26.132336363636345
Raw Dataa\V22.00.txt,-411.7005868653937,27.15593851886349
Raw Dataa\V28.00.txt,-410.7651812149063,28.082687404385517
Raw Dataa\V34.00.txt,-410.1154277286134,29.460035398230072
Raw Dataa\V38.00.txt,-409.32628751974704,30.700110352075644
Raw Dataa\V40.00.txt,-408.86601486563785,31.258417142857137
Raw Dataa\V42.00.txt,-408.36912687585186,32.29141818181819
Raw Dataa\V46.00.txt,-407.4321129326046,33.66136529126213
Raw Dataa\V50.00.txt,-406.38326818181906,35.21381818181818
